player,team,position,x,y
Ritwik Kumar Das,Jamshedpur,Left Wing,56.4,43.0
Pronay Halder,Jamshedpur,Left Defensive Midfield,55.9,46.1
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,80.4,32.3
Daniel Chima Chukwu,Jamshedpur,Center Forward,73.7,47.4
Ayush Adhikari,Kerala Blasters,Right Defensive Midfield,103.0,54.1
Ritwik Kumar Das,Jamshedpur,Left Wing,44.1,2.6
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,103.5,52.0
Ritwik Kumar Das,Jamshedpur,Left Wing,79.8,5.9
Ishan Pandita,Jamshedpur,Center Attacking Midfield,78.4,3.5
Eli Sabia Filho,Jamshedpur,Right Center Back,62.2,74.1
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,42.8,7.7
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,83.4,13.7
Ayush Adhikari,Kerala Blasters,Right Defensive Midfield,56.8,27.5
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,51.3,29.1
Greg Stewart,Jamshedpur,Right Wing,66.9,73.5
Pronay Halder,Jamshedpur,Left Defensive Midfield,84.5,46.9
Jitendra Singh,Jamshedpur,Right Defensive Midfield,69.6,52.6
PC Laldinpuia,Jamshedpur,Right Back,42.3,76.0
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,52.4,17.8
Greg Stewart,Jamshedpur,Right Wing,78.2,67.7
Greg Stewart,Jamshedpur,Right Wing,69.4,72.4
Peter Hartley,Jamshedpur,Left Center Back,16.8,40.6
Ritwik Kumar Das,Jamshedpur,Left Wing,75.7,2.6
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,25.2,64.1
Marko Lešković,Kerala Blasters,Left Center Back,5.1,76.2
Eli Sabia Filho,Jamshedpur,Right Center Back,47.3,20.2
Pronay Halder,Jamshedpur,Left Defensive Midfield,45.4,18.0
Jitendra Singh,Jamshedpur,Right Defensive Midfield,49.3,25.5
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,113.7,36.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,25.4,9.3
Soraisham Sandeep Singh,Kerala Blasters,Left Back,11.6,12.0
Soraisham Sandeep Singh,Kerala Blasters,Left Back,4.3,17.8
Daniel Chima Chukwu,Jamshedpur,Center Forward,115.8,66.6
Jitendra Singh,Jamshedpur,Right Defensive Midfield,82.6,54.0
Pronay Halder,Jamshedpur,Left Defensive Midfield,80.6,54.0
Pronay Halder,Jamshedpur,Left Defensive Midfield,74.3,60.1
Ishan Pandita,Jamshedpur,Center Attacking Midfield,89.9,40.0
Ishan Pandita,Jamshedpur,Center Attacking Midfield,76.0,40.6
Ritwik Kumar Das,Jamshedpur,Left Wing,87.5,6.5
Jitendra Singh,Jamshedpur,Right Defensive Midfield,70.4,18.6
Ishan Pandita,Jamshedpur,Center Attacking Midfield,84.5,29.8
Pronay Halder,Jamshedpur,Left Defensive Midfield,73.2,43.0
Pronay Halder,Jamshedpur,Left Defensive Midfield,74.6,43.0
Eli Sabia Filho,Jamshedpur,Right Center Back,53.4,52.4
Greg Stewart,Jamshedpur,Right Wing,53.4,74.4
Jitendra Singh,Jamshedpur,Right Defensive Midfield,60.5,70.8
Daniel Chima Chukwu,Jamshedpur,Center Forward,68.0,36.7
Ricky Lallawmawma,Jamshedpur,Left Back,47.7,24.0
Greg Stewart,Jamshedpur,Right Wing,73.0,50.2
Eli Sabia Filho,Jamshedpur,Right Center Back,22.0,65.5
Laldinliana Renthlei,Jamshedpur,Right Back,22.9,53.8
Pronay Halder,Jamshedpur,Left Defensive Midfield,19.6,54.9
Laldinliana Renthlei,Jamshedpur,Right Back,77.3,75.5
Soraisham Sandeep Singh,Kerala Blasters,Left Back,17.5,10.7
Daniel Chima Chukwu,Jamshedpur,Center Forward,101.3,70.5
Pronay Halder,Jamshedpur,Left Defensive Midfield,62.0,41.1
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,56.2,6.3
Harmanjot Singh Khabra,Kerala Blasters,Right Back,39.2,75.6
Ritwik Kumar Das,Jamshedpur,Left Wing,106.8,16.6
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,7.5,73.9
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,96.1,25.2
Soraisham Sandeep Singh,Kerala Blasters,Left Back,80.2,10.9
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,42.5,12.0
Hormipam Ruivah,Kerala Blasters,Right Center Back,51.0,52.8
Ricky Lallawmawma,Jamshedpur,Left Back,76.5,7.0
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,35.4,46.1
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,27.1,46.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,22.2,43.7
Soraisham Sandeep Singh,Kerala Blasters,Left Back,20.2,36.8
Ayush Adhikari,Kerala Blasters,Right Defensive Midfield,29.3,36.5
Greg Stewart,Jamshedpur,Right Wing,80.6,48.8
Jitendra Singh,Jamshedpur,Right Defensive Midfield,80.4,64.2
Marko Lešković,Kerala Blasters,Left Center Back,26.5,16.7
Ritwik Kumar Das,Jamshedpur,Left Wing,87.5,51.3
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,51.0,53.3
Pronay Halder,Jamshedpur,Left Defensive Midfield,46.8,31.5
Jitendra Singh,Jamshedpur,Right Defensive Midfield,45.8,38.1
PC Laldinpuia,Jamshedpur,Right Back,47.1,56.8
Jitendra Singh,Jamshedpur,Right Defensive Midfield,49.9,73.3
Greg Stewart,Jamshedpur,Right Wing,62.5,68.6
Jitendra Singh,Jamshedpur,Right Defensive Midfield,55.6,71.4
Greg Stewart,Jamshedpur,Right Wing,59.4,75.7
Jitendra Singh,Jamshedpur,Right Defensive Midfield,54.5,73.5
PC Laldinpuia,Jamshedpur,Right Back,33.3,73.3
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,81.0,20.0
Harmanjot Singh Khabra,Kerala Blasters,Right Back,31.5,72.5
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,27.4,74.2
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,24.8,76.9
Hormipam Ruivah,Kerala Blasters,Right Center Back,19.6,56.3
Daniel Chima Chukwu,Jamshedpur,Center Forward,95.7,17.7
Greg Stewart,Jamshedpur,Right Wing,61.1,36.4
PC Laldinpuia,Jamshedpur,Right Back,68.0,64.7
Ayush Adhikari,Kerala Blasters,Right Defensive Midfield,51.0,36.2
Álvaro Vázquez García,Kerala Blasters,Right Center Forward,24.4,20.2
Eli Sabia Filho,Jamshedpur,Right Center Back,90.5,72.7
Pronay Halder,Jamshedpur,Left Defensive Midfield,67.2,59.5
Ishan Pandita,Jamshedpur,Center Attacking Midfield,96.8,53.4
Marko Lešković,Kerala Blasters,Left Center Back,37.8,7.4
Jitendra Singh,Jamshedpur,Right Defensive Midfield,45.8,73.1
Marko Lešković,Kerala Blasters,Left Center Back,56.6,24.1
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,10.9,58.5
Daniel Chima Chukwu,Jamshedpur,Center Forward,107.0,26.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,90.9,37.9
Daniel Chima Chukwu,Jamshedpur,Center Forward,84.2,36.4
Jitendra Singh,Jamshedpur,Right Defensive Midfield,62.2,32.0
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,95.5,50.9
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,40.8,78.0
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,21.6,62.4
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,28.7,77.5
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,27.1,60.7
Daniel Chima Chukwu,Jamshedpur,Center Forward,97.7,59.9
Eli Sabia Filho,Jamshedpur,Right Center Back,68.0,73.8
Hormipam Ruivah,Kerala Blasters,Right Center Back,47.1,31.6
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,34.3,51.6
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,33.7,51.6
Soraisham Sandeep Singh,Kerala Blasters,Left Back,22.2,27.5
Ritwik Kumar Das,Jamshedpur,Left Wing,95.7,43.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,55.5,35.4
Greg Stewart,Jamshedpur,Right Wing,68.0,42.4
Pronay Halder,Jamshedpur,Left Defensive Midfield,64.3,44.7
Eli Sabia Filho,Jamshedpur,Right Center Back,52.1,46.5
Nishu Kumar Tashni,Kerala Blasters,Right Midfield,16.5,67.9
Ishan Pandita,Jamshedpur,Center Attacking Midfield,98.6,36.8
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,36.2,44.7
Greg Stewart,Jamshedpur,Right Wing,73.4,21.0
PC Laldinpuia,Jamshedpur,Right Back,82.1,73.8
Jitendra Singh,Jamshedpur,Right Defensive Midfield,77.8,61.9
Ayush Adhikari,Kerala Blasters,Right Defensive Midfield,72.8,21.3
Ritwik Kumar Das,Jamshedpur,Left Wing,100.6,10.0
Harmanjot Singh Khabra,Kerala Blasters,Right Back,12.9,70.3
PC Laldinpuia,Jamshedpur,Right Back,44.6,53.6
Pronay Halder,Jamshedpur,Left Defensive Midfield,46.9,47.2
Peter Hartley,Jamshedpur,Left Center Back,48.1,49.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,36.5,47.2
Ritwik Kumar Das,Jamshedpur,Left Wing,81.6,44.0
PC Laldinpuia,Jamshedpur,Right Back,78.7,57.9
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,77.5,4.1
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,78.0,21.3
Jitendra Singh,Jamshedpur,Right Defensive Midfield,51.2,73.8
PC Laldinpuia,Jamshedpur,Right Back,49.3,75.3
Jitendra Singh,Jamshedpur,Right Defensive Midfield,56.2,74.6
Marko Lešković,Kerala Blasters,Left Center Back,30.4,46.7
Pronay Halder,Jamshedpur,Left Defensive Midfield,46.9,49.0
Ricky Lallawmawma,Jamshedpur,Left Back,4.0,11.1
Jitendra Singh,Jamshedpur,Right Defensive Midfield,38.0,74.6
Pronay Halder,Jamshedpur,Left Defensive Midfield,67.7,62.2
Jitendra Singh,Jamshedpur,Right Defensive Midfield,54.8,44.9
Greg Stewart,Jamshedpur,Right Wing,24.8,43.2
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,89.8,29.5
Hormipam Ruivah,Kerala Blasters,Right Center Back,60.7,27.7
Soraisham Sandeep Singh,Kerala Blasters,Left Back,61.4,24.5
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,66.0,6.0
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,55.8,38.1
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,65.2,55.4
Jitendra Singh,Jamshedpur,Right Defensive Midfield,95.3,52.7
Jitendra Singh,Jamshedpur,Right Defensive Midfield,37.8,73.5
Ishan Pandita,Jamshedpur,Center Attacking Midfield,21.5,75.3
Ricky Lallawmawma,Jamshedpur,Left Back,80.7,4.0
Ricky Lallawmawma,Jamshedpur,Left Back,83.6,12.7
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,34.5,54.5
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,34.6,17.6
Harmanjot Singh Khabra,Kerala Blasters,Right Back,16.0,63.1
Ishan Pandita,Jamshedpur,Center Attacking Midfield,80.9,39.5
Ritwik Kumar Das,Jamshedpur,Left Wing,92.9,10.0
Ricky Lallawmawma,Jamshedpur,Left Back,81.8,18.6
Peter Hartley,Jamshedpur,Left Center Back,69.1,20.7
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,42.6,29.7
Pronay Halder,Jamshedpur,Left Defensive Midfield,85.6,41.5
Soraisham Sandeep Singh,Kerala Blasters,Left Back,23.4,14.8
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,28.6,11.7
PC Laldinpuia,Jamshedpur,Right Back,94.8,73.4
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,69.3,10.5
Ritwik Kumar Das,Jamshedpur,Left Wing,64.0,9.6
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,35.1,46.4
Mohammad Mobashir Rahman,Jamshedpur,Left Defensive Midfield,77.1,6.3
Hormipam Ruivah,Kerala Blasters,Right Center Back,19.4,35.5
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,48.3,60.6
Harmanjot Singh Khabra,Kerala Blasters,Right Back,31.7,64.6
Eli Sabia Filho,Jamshedpur,Right Center Back,64.4,45.1
Mohammad Mobashir Rahman,Jamshedpur,Left Defensive Midfield,69.6,26.4
Ritwik Kumar Das,Jamshedpur,Left Wing,75.3,24.5
Ricky Lallawmawma,Jamshedpur,Left Back,61.1,18.8
Soraisham Sandeep Singh,Kerala Blasters,Left Back,36.7,22.4
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,49.5,27.6
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,17.0,68.2
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,24.8,68.6
Hormipam Ruivah,Kerala Blasters,Right Center Back,28.4,69.2
Soraisham Sandeep Singh,Kerala Blasters,Left Back,5.2,35.6
Ishan Pandita,Jamshedpur,Center Attacking Midfield,110.3,51.5
Harmanjot Singh Khabra,Kerala Blasters,Right Back,26.2,56.7
Ritwik Kumar Das,Jamshedpur,Left Wing,99.3,9.5
Ritwik Kumar Das,Jamshedpur,Left Wing,93.9,7.9
Jordan Murray,Jamshedpur,Center Forward,96.6,73.8
Ishan Pandita,Jamshedpur,Center Attacking Midfield,100.7,35.9
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,23.0,50.1
Jitendra Singh,Jamshedpur,Right Defensive Midfield,87.4,26.9
Marko Lešković,Kerala Blasters,Left Center Back,34.9,27.2
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,40.1,28.3
Jitendra Singh,Jamshedpur,Right Defensive Midfield,59.8,30.8
Mohammad Mobashir Rahman,Jamshedpur,Left Defensive Midfield,57.3,34.8
PC Laldinpuia,Jamshedpur,Right Back,41.8,76.9
Greg Stewart,Jamshedpur,Right Wing,25.7,76.9
Ritwik Kumar Das,Jamshedpur,Left Wing,94.2,37.3
Eli Sabia Filho,Jamshedpur,Right Center Back,66.3,43.0
Mohammad Mobashir Rahman,Jamshedpur,Left Defensive Midfield,42.7,40.3
Eli Sabia Filho,Jamshedpur,Right Center Back,9.9,31.6
Narender Gahlot,Jamshedpur,Left Center Back,10.2,29.4
Ishan Pandita,Jamshedpur,Center Attacking Midfield,110.3,24.2
Ishan Pandita,Jamshedpur,Center Attacking Midfield,90.3,27.5
Greg Stewart,Jamshedpur,Right Wing,39.6,77.4
Mohammad Mobashir Rahman,Jamshedpur,Left Defensive Midfield,33.7,62.1
Ritwik Kumar Das,Jamshedpur,Left Wing,34.4,46.3
Narender Gahlot,Jamshedpur,Left Center Back,24.9,37.9
Eli Sabia Filho,Jamshedpur,Right Center Back,6.4,74.7
Greg Stewart,Jamshedpur,Right Wing,7.5,77.6
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,112.1,14.4
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,112.9,15.8
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,95.5,20.7
Soraisham Sandeep Singh,Kerala Blasters,Left Back,28.1,6.0
Soraisham Sandeep Singh,Kerala Blasters,Left Back,62.4,3.8
Ritwik Kumar Das,Jamshedpur,Left Wing,85.2,24.0
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,111.3,68.2
Rahul Kannoly Praveen,Kerala Blasters,Right Midfield,72.1,49.9
Greg Stewart,Jamshedpur,Right Wing,107.5,54.8
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,88.9,16.6
Ishan Pandita,Jamshedpur,Center Attacking Midfield,96.3,41.2
Ritwik Kumar Das,Jamshedpur,Left Wing,80.8,14.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,32.2,47.4
Hormipam Ruivah,Kerala Blasters,Right Center Back,13.5,67.1
Ritwik Kumar Das,Jamshedpur,Left Wing,78.6,6.2
Lalthathanga Khawlhring,Kerala Blasters,Left Defensive Midfield,51.8,43.9
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,34.9,72.5
Harmanjot Singh Khabra,Kerala Blasters,Right Back,24.3,70.3
Narender Gahlot,Jamshedpur,Left Center Back,63.0,5.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,114.3,71.9
Ritwik Kumar Das,Jamshedpur,Left Wing,85.2,10.4
Ricky Lallawmawma,Jamshedpur,Left Back,65.2,4.0
Narender Gahlot,Jamshedpur,Left Center Back,27.7,12.5
Narender Gahlot,Jamshedpur,Left Center Back,6.4,22.3
Jorge Rolando Pereyra Díaz,Kerala Blasters,Left Center Forward,108.2,55.4
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,68.5,73.6
Harmanjot Singh Khabra,Kerala Blasters,Right Back,59.8,74.4
Ricky Lallawmawma,Jamshedpur,Left Back,9.9,9.0
Soraisham Sandeep Singh,Kerala Blasters,Left Back,55.1,2.7
Mohammad Mobashir Rahman,Jamshedpur,Left Defensive Midfield,63.0,76.3
Ishan Pandita,Jamshedpur,Center Attacking Midfield,76.2,78.0
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,24.6,59.6
PC Laldinpuia,Jamshedpur,Right Back,66.9,74.9
Narender Gahlot,Jamshedpur,Left Center Back,40.7,44.7
PC Laldinpuia,Jamshedpur,Right Back,40.7,48.7
Adrián Nicolás Luna Retamar,Kerala Blasters,Left Midfield,38.8,42.0
Hormipam Ruivah,Kerala Blasters,Right Center Back,37.3,42.8
Vincy Barretto,Kerala Blasters,Right Center Forward,57.1,54.3
Ricky Lallawmawma,Jamshedpur,Left Back,50.8,27.5
Ishan Pandita,Jamshedpur,Center Attacking Midfield,22.2,69.0
Jordan Murray,Jamshedpur,Center Forward,43.2,46.5
Jeakson Singh Thaunaojam,Kerala Blasters,Right Defensive Midfield,47.7,19.7
Ritwik Kumar Das,Jamshedpur,Left Wing,39.0,10.9
Ritwik Kumar Das,Jamshedpur,Left Wing,46.7,13.9
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,16.1,63.7
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,18.0,51.5
Konsham Chinglensana Singh,Hyderabad,Right Center Back,16.7,48.7
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,26.6,48.7
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,49.0,10.2
Akash Mishra,Hyderabad,Left Back,13.3,3.1
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Wing,116.8,68.6
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,110.2,61.3
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,89.7,46.2
Nim Dorjee Tamang,Hyderabad,Right Back,22.3,68.4
Liston Colaco,ATK Mohun Bagan,Left Wing,96.9,11.1
Liston Colaco,ATK Mohun Bagan,Left Wing,102.5,13.2
Javier Siverio Toro,Hyderabad,Right Center Forward,53.7,70.1
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,57.6,62.0
Nim Dorjee Tamang,Hyderabad,Right Back,5.0,66.7
Javier Siverio Toro,Hyderabad,Right Center Forward,31.5,72.9
Javier Siverio Toro,Hyderabad,Right Center Forward,29.2,73.1
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Wing,102.1,75.2
PC Laldinpuia,Jamshedpur,Right Back,57.6,50.8
Carl Gerard McHugh,ATK Mohun Bagan,Center Defensive Midfield,83.2,72.9
Roy Krishna,ATK Mohun Bagan,Center Forward,88.0,38.9
Nim Dorjee Tamang,Hyderabad,Right Back,44.8,71.4
Nim Dorjee Tamang,Hyderabad,Right Back,42.8,73.3
Nim Dorjee Tamang,Hyderabad,Right Back,27.7,73.1
Javier Siverio Toro,Hyderabad,Right Center Forward,52.0,66.7
Carl Gerard McHugh,ATK Mohun Bagan,Center Defensive Midfield,61.2,55.6
Liston Colaco,ATK Mohun Bagan,Left Wing,24.4,25.6
Mohammad Yasir,Hyderabad,Right Midfield,76.4,70.3
Aniket Anil Jadhav,Hyderabad,Left Midfield,27.4,4.2
Javier Siverio Toro,Hyderabad,Right Center Forward,75.8,31.4
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,68.5,29.7
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,102.3,18.1
Liston Colaco,ATK Mohun Bagan,Left Wing,97.8,11.3
Javier Siverio Toro,Hyderabad,Right Center Forward,59.1,60.5
Nim Dorjee Tamang,Hyderabad,Right Back,51.0,51.1
Nim Dorjee Tamang,Hyderabad,Right Back,51.0,57.9
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,90.3,19.6
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,79.4,17.1
Carl Gerard McHugh,ATK Mohun Bagan,Center Defensive Midfield,56.5,20.9
Carl Gerard McHugh,ATK Mohun Bagan,Center Defensive Midfield,44.5,8.1
Bartholomew Owogbalor Ogbeche,Hyderabad,Left Center Forward,115.4,74.2
Nim Dorjee Tamang,Hyderabad,Right Back,62.3,75.0
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,70.6,64.1
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,63.6,68.8
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,55.9,68.4
Nim Dorjee Tamang,Hyderabad,Right Back,50.1,67.3
Nim Dorjee Tamang,Hyderabad,Right Back,12.5,57.7
Konsham Chinglensana Singh,Hyderabad,Right Center Back,7.5,53.8
Nim Dorjee Tamang,Hyderabad,Right Back,21.5,67.3
Roy Krishna,ATK Mohun Bagan,Center Forward,113.8,28.2
Akash Mishra,Hyderabad,Left Back,49.0,5.3
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Wing,68.5,75.9
Liston Colaco,ATK Mohun Bagan,Left Wing,91.2,32.7
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,80.9,62.4
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,43.1,3.8
Akash Mishra,Hyderabad,Left Back,23.4,2.9
Liston Colaco,ATK Mohun Bagan,Left Wing,96.1,21.6
Nim Dorjee Tamang,Hyderabad,Right Back,21.7,65.6
Aniket Anil Jadhav,Hyderabad,Left Midfield,47.1,6.6
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,35.1,50.0
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,31.7,38.7
Sandesh Jhingan,ATK Mohun Bagan,Left Center Back,23.8,34.4
Mohammad Yasir,Hyderabad,Right Midfield,93.1,67.1
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,71.5,13.9
Subhasish Bose,ATK Mohun Bagan,Left Back,19.5,20.1
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,88.2,44.2
Juan Antonio González Fernández,Hyderabad,Left Center Back,47.3,24.7
Subhasish Bose,ATK Mohun Bagan,Left Back,56.5,14.9
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,58.0,46.3
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,45.2,46.4
Nim Dorjee Tamang,Hyderabad,Right Back,54.2,56.2
Konsham Chinglensana Singh,Hyderabad,Right Center Back,9.7,51.5
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,63.6,59.6
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Wing,70.8,74.2
Nim Dorjee Tamang,Hyderabad,Right Back,18.2,58.8
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,19.5,46.6
Liston Colaco,ATK Mohun Bagan,Left Wing,101.2,32.3
Roy Krishna,ATK Mohun Bagan,Center Forward,59.5,19.2
Javier Siverio Toro,Hyderabad,Right Center Forward,77.5,58.1
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,32.8,47.8
Konsham Chinglensana Singh,Hyderabad,Right Center Back,46.3,38.4
Nim Dorjee Tamang,Hyderabad,Right Back,37.3,69.7
Liston Colaco,ATK Mohun Bagan,Left Wing,81.1,8.1
Aniket Anil Jadhav,Hyderabad,Left Midfield,40.7,3.8
Aniket Anil Jadhav,Hyderabad,Left Midfield,22.3,7.2
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,76.6,34.2
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Wing,65.5,65.4
Pritam Kotal,ATK Mohun Bagan,Right Center Back,73.8,35.5
Hugo Adnan Boumous,ATK Mohun Bagan,Left Center Midfield,75.3,48.7
Kiyan Nassiri Giri,ATK Mohun Bagan,Right Wing,39.4,75.7
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,57.2,20.3
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,112.1,9.6
Liston Colaco,ATK Mohun Bagan,Left Wing,83.9,20.9
Nim Dorjee Tamang,Hyderabad,Right Back,32.8,52.3
Javier Siverio Toro,Hyderabad,Right Center Forward,100.8,75.0
Subhasish Bose,ATK Mohun Bagan,Left Back,8.0,7.9
Amrinder Singh,ATK Mohun Bagan,Goalkeeper,3.3,49.2
Juan Antonio González Fernández,Hyderabad,Left Center Back,115.1,63.2
Pritam Kotal,ATK Mohun Bagan,Right Center Back,38.1,74.6
Souvik Chakrabarti,Hyderabad,Right Defensive Midfield,79.6,6.4
Mohammad Yasir,Hyderabad,Right Midfield,111.7,51.1
João Victor de Albuquerque Bruno,Hyderabad,Left Defensive Midfield,51.4,49.6
Joni Ensio Kauko,ATK Mohun Bagan,Right Center Midfield,100.6,35.2
